ID,Timestamp,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Φύλλο;,Ποιος είναι ο τρόπος εργασίας;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Έχεις άτομα υπό την επίβλεψη σου;,Ποιό είναι το επίπεδο σπουδών σου;,"Ποιος είναι ο τίτλος του πτυχίου σου; (Αν έχεις παραπάνω από ένα, συμπλήρωσε τα)",Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[Fixed] Ποιος είναι ο ΕΤΗΣΙΟΣ ΚΑΘΑΡΟΣ μισθός σου σε €;,[GROUP] Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,"[GROUP] Σε ποια πόλη δουλεύεις, Greece ή Abroad","[GROUP] Σε ποια πόλη δουλεύεις, Αττική ή Υπόλοιπη Ελλάδα",[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;,[GROUP] Το πτυχίο σου είYes σχετικό με τον τομέα της πληροφορική;,[NORMALIZED] Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,[NORMALIZED] Με ποιες γλώσσες προγραμματισμού δουλεύεις επαγγελματικά αυτή την περίοδο;
11,1/18/2023 12:24:44,Frontend,"JavaScript, PHP",7,Όχι,Άντρας,Και τα δύο,Malta,Malta,51 - 100,Ναι,Master,Information Technology ,3200,3200,7,Εξωτερικό,-,,Ναι,Frontend,"JavaScript, PHP"
12,1/18/2023 12:26:18,Frontend,JavaScript,5,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,Ψηφιακα Συστηματα,27287,27287,5,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
13,1/18/2023 12:27:01,Backend,JavaScript,2,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,51 - 100,Όχι,Bachelor's,"Πληροφορική (Σχολή Τεχνολογιών Πληροφορικής Και Επικοινωνιών, ΠΑ.ΠΕΙ.)",19600,19600,2,Ελλάδα,Αττική,,Ναι,Backend,JavaScript
14,1/18/2023 12:28:17,"Backend, Frontend","JavaScript, PHP",1,Ναι,Άντρας,Απομακρυσμένα,Χαλκίδα,Αθήνα,1 - 10,Ναι,ΙΕΚ,Web Developer | Multimedia ,11.2,11200,1,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","JavaScript, PHP"
15,1/18/2023 12:28:38,Backend,Python,9,Ναι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,London,501+,Όχι,Master,Master at applied informatics,68400,68400,9,Εξωτερικό,-,,Ναι,Backend,Python
16,1/18/2023 12:29:06,"Backend, Frontend","C#, JavaScript, HTML, CSS",1,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,Bachelor of Science (BSc),11483,11483,1,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","C#, JavaScript, HTML, CSS"
17,1/18/2023 12:32:03,"Backend, Frontend, DevOps","Java, JavaScript, Bash",20,Ναι,Άντρας,Στον χώρο του εργοδότη,Ηράκλειο,,11 - 50,Ναι,Bachelor's,ΜΗΧΑΝΙΚΟΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,21000,21000,10+,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend, SRE / DevOps","Java, JavaScript, Bash"
18,1/18/2023 12:35:02,DevOps,"Java, Python",1,Ναι,Άντρας,Απομακρυσμένα,Λάρισα,Αθήνα,51 - 100,Όχι,Bachelor's,Μηχανικών Πληροφορικής,13000,13000,1,Ελλάδα,Αττική,,Ναι,SRE / DevOps,"Java, Python"
19,1/18/2023 12:37:48,Frontend,JavaScript,5,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,201 - 500,Όχι,Bachelor's,"
Computer Science",23000,23000,5,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
20,1/18/2023 12:43:04,Embedded,Python,2,Όχι,Άντρας,Απομακρυσμένα,Πάτρα,Πάτρα,1 - 10,Όχι,Master,Φυσικός,40320,40320,2,Ελλάδα,Υπόλοιπη Ελλάδα,,Όχι,FPGA / ASIC / Embedded,Python
21,1/18/2023 12:44:49,"Backend, Desktop apps",C#,2,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Λύκειο,,11660,11660,2,Ελλάδα,Αττική,,Όχι,"Backend, Desktop Apps",C#
22,1/18/2023 12:48:00,Frontend,"JavaScript, PHP, React, Angular",9,Ναι,Γυναίκα,Απομακρυσμένα,Άρτα,Αθήνα,11 - 50,Όχι,Master,Μηχανικός Η/Υ & Πληροφορικής,19600,19600,9,Ελλάδα,Αττική,,Ναι,Frontend,"JavaScript, PHP, TypeScript"
23,1/18/2023 12:50:21,Backend,Java,1,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,201 - 500,Όχι,Bachelor's,Πληροφορικής και Τηλεπικοινωνιών ΕΚΠΑ (Computer Science),15754,15754,1,Ελλάδα,Αττική,,Ναι,Backend,Java
24,1/18/2023 12:53:11,"Backend, Frontend","JavaScript, PHP",15,Όχι,Άντρας,Στον χώρο του εργοδότη,Αθήνα,Αθήνα,1 - 10,Ναι,Bachelor's,ΜΗΧΑΝΙΚΟΣ Η/Υ & ΠΛΗΡΟΦΟΡΙΚΗΣ,20150,20150,10+,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","JavaScript, PHP"
25,1/18/2023 12:55:29,Mobile apps,"Python, Swift, Kotlin",11,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Berlin,11 - 50,Όχι,Λύκειο,,55000,55000,10+,Εξωτερικό,-,,Όχι,Mobile Apps,"Python, Swift, Kotlin"
26,1/18/2023 12:56:06,DevOps,"JavaScript, Bash",2,Όχι,Άντρας,Απομακρυσμένα,Ιωάννινα,London,11 - 50,Όχι,Master,"Μηχανικών Πληροφορικής Τ.Ε. ΤΕΙ Θεσσαλίας, 
Ασφάλεια Πληροφοριακών και Επικοινωνιακών Συστημάτων",21200,21200,2,Εξωτερικό,-,,Ναι,SRE / DevOps,"JavaScript, Bash"
27,1/18/2023 13:01:57,"Backend, Frontend","JavaScript, PHP",1,Όχι,Άντρας,Στον χώρο του εργοδότη,Θεσσαλονίκη,,11 - 50,Ναι,Bachelor's,Ηλεκτρολόγος Μηχανικός και Μηχανικός υπολογιστών,12600,12600,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend","JavaScript, PHP"
28,1/18/2023 13:20:23,"Backend, Frontend","Python, JavaScript",1,Όχι,Άντρας,Στον χώρο του εργοδότη,Θεσσαλονίκη,,201 - 500,Όχι,Bachelor's,"Software Engineering, Computational and Communication Systems",800,11200,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend","Python, JavaScript"
29,1/18/2023 13:23:08,"Backend, software ",C#,1,Όχι,Άντρας,Στον χώρο του εργοδότη,Αθήνα,,1 - 10,Όχι,Bachelor's,"πληροφορικη και τηλεπικοινωνιων, λογισμικο και δικτυα ",8582,8582,1,Ελλάδα,Αττική,,Ναι,Backend,C#
30,1/18/2023 13:26:42,"Backend, Frontend","Java, PHP",10,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,201 - 500,Όχι,Master,Μηχανικός Πληροφορικής,65000,65000,10+,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","Java, PHP"
31,1/18/2023 13:37:38,"Backend, Frontend, database",JavaScript,5,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,ΤΜΗΜΑ ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ (ΟΠΑ),27.58,27580,5,Ελλάδα,Αττική,,Ναι,"Backend, Frontend, DBA",JavaScript
32,1/18/2023 13:38:29,Backend,PL/SQL,5,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Όχι,Master,Advanced Software Engineer - Data Engineering & Big Data Sciences,16585,16585,5,Ελλάδα,Αττική,,Ναι,Backend,PL/SQL
33,1/18/2023 13:44:59,Backend,"PHP, Go",4,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,Μηχανικός Πληροφορικής,23500,23500,4,Ελλάδα,Αττική,,Ναι,Backend,"PHP, Go"
34,1/18/2023 13:49:53,Backend,"C#, JavaScript",2,Ναι,Άντρας,Και τα δύο,Edinburgh,Edinburgh,501+,Όχι,Master,MSc Computing,34073,34073,2,Εξωτερικό,-,,Ναι,Backend,"C#, JavaScript"
35,1/18/2023 14:06:02,Frontend,JavaScript,5,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Ναι,Master,Ηλεκτρολόγος Μηχανικός και Μηχανικώς Υπολογιστών,26110,26110,5,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
36,1/18/2023 14:08:52,Backend,Java,2,Όχι,Άντρας,Και τα δύο,Αθήνα,,501+,Όχι,Master,Integrated Master in Computer Engineering and Informatics,21000,21000,2,Ελλάδα,Αττική,,Ναι,Backend,Java
37,1/18/2023 14:21:40,"Backend, Frontend, DevOps","Python, Go, Bash",7,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,101 - 200,Ναι,Master,Φυσικός,30600,30600,7,Ελλάδα,Αττική,,Όχι,"Backend, Frontend, SRE / DevOps","Python, Go, Bash"
38,1/18/2023 14:22:21,Backend,PHP,5,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,101 - 200,Όχι,Master,Πληροφορικη και Τηλεπικοινωνιων,22400,22400,5,Ελλάδα,Αττική,,Ναι,Backend,PHP
39,1/18/2023 14:34:33,Frontend,JavaScript,3,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,201 - 500,Όχι,Master,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,28000,28000,3,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
40,1/18/2023 14:43:14,Application Engineer,"Java, PL/SQL, XML, XSL, Velocity",4,Όχι,Γυναίκα,Στον χώρο του εργοδότη,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,Μηχανικός Πληροφορικής και Τηλεπικοινωνίων ,19000,19000,4,Ελλάδα,Αττική,,Ναι,Backend,"Java, PL/SQL, XML, XSL, Velocity"
41,1/18/2023 14:49:34,"Backend, Frontend","JavaScript, PHP",1,Ναι,Γυναίκα,Στον χώρο του εργοδότη,Λάρισα,,1 - 10,Όχι,Bachelor's,Μηχανικών Πληροφορικής ΤΕ,9750,9750,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend","JavaScript, PHP"
42,1/18/2023 14:52:00,Backend,C#,5,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,Μηχανικών Η/Υ και πληροφορικής Πάτρας,29400,29400,5,Ελλάδα,Αττική,,Ναι,Backend,C#
43,1/18/2023 14:59:51,Backend,Python,7,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,Bsc Computer Science,26000,26000,7,Ελλάδα,Αττική,,Ναι,Backend,Python
44,1/18/2023 15:03:18,Backend,C#,4,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Ναι,Bachelor's,Ψηφιακά Συστήματα,20300,20300,4,Ελλάδα,Αττική,,Ναι,Backend,C#
45,1/18/2023 15:17:45,FullStack,"JavaScript, PHP",3,Ναι,Άντρας,Απομακρυσμένα,Θεσσαλονίκη,Αθήνα,51 - 100,Όχι,Bachelor's,Μηχανικών Πληροφορικής Ειδικότητα λογισμικό,16800,16800,3,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","JavaScript, PHP"
46,1/18/2023 15:30:55,Frontend,JavaScript,2,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,1 - 10,Όχι,Bachelor's,Μηχανικός Πληροφορικής,15525,15525,2,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
47,1/18/2023 15:34:08,"Backend, Frontend","JavaScript, PHP",7,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Ναι,Λύκειο,,28000,28000,7,Ελλάδα,Αττική,,Όχι,"Backend, Frontend","JavaScript, PHP"
48,1/18/2023 15:37:04,"Backend, Frontend, DevOps, Mobile apps","Python, JavaScript",4,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,1 - 10,Ναι,Master,Integrated Master in Electrical and Computer Engineering,23100,23100,4,Ελλάδα,Αττική,,Ναι,"Backend, Frontend, SRE / DevOps, Mobile Apps","Python, JavaScript"
49,1/18/2023 15:38:39,Backend,C#,1,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Bachelor's,"Αποφοιτος ΤΕΙ Ηελκτρολογιας, Αποφοιτος bootcamp Full Stack Developer ",11200,11200,1,Ελλάδα,Αττική,,Ναι,Backend,C#
50,1/18/2023 15:45:43,"Backend, Frontend","C#, JavaScript, TypeScript",1,Όχι,Γυναίκα,Και τα δύο,Αθήνα,,101 - 200,Όχι,Bachelor's,BSc,14244,14244,1,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","C#, JavaScript, TypeScript"
51,1/18/2023 16:12:07,Backend,C#,2,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,201 - 500,Όχι,Λύκειο,,12500,12500,2,Ελλάδα,Αττική,,Όχι,Backend,C#
52,1/18/2023 16:16:33,Frontend,JavaScript,2,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,101 - 200,Όχι,Bachelor's,Computer Science,17250,17250,2,Ελλάδα,Αττική,,Ναι,Frontend,JavaScript
53,1/18/2023 16:20:48,Frontend,JavaScript,12,Ναι,Άντρας,Και τα δύο,Πάτρα,Πάτρα,101 - 200,Ναι,Master,Μηχανικός Η/Υ & Πληροφορικής,34000,34000,10+,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,JavaScript
54,1/18/2023 16:24:06,"Backend, Frontend","Python, PHP",6,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,11 - 50,Όχι,Bachelor's,ΠΛΗΡΟΦΟΡΙΚΗ,22.4,22400,6,Ελλάδα,Αττική,,Ναι,"Backend, Frontend","Python, PHP"
55,1/18/2023 16:39:16,Frontend,"JavaScript, PHP, ReactJs, NextJs, Groovy",13,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,201 - 500,Ναι,Bachelor's,Πτυχιούχος Μηχανικός Πληροφορικής,32.373,32373,10+,Ελλάδα,Αττική,,Ναι,Frontend,"JavaScript, PHP, Groovy"
56,1/18/2023 16:44:13,Backend,PHP,9,Όχι,Άντρας,Και τα δύο,Θεσσαλονίκη,Θεσσαλονίκη,201 - 500,Ναι,Master,"Industrial Informatics, B.Sc., Data and Web Science, M.Sc.",30000,30000,9,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Backend,PHP
57,1/18/2023 16:44:16,Backend,"PHP, Bash",16,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,11 - 50,Ναι,Master,Ηλεκτρονικός Μηχανικός και μηχανικός Η/Υ,20300,20300,10+,Ελλάδα,Αττική,,Ναι,Backend,"PHP, Bash"
58,1/18/2023 16:50:30,Backend,C#,1,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Αθήνα,101 - 200,Όχι,Λύκειο,,14000,14000,1,Ελλάδα,Αττική,,Όχι,Backend,C#
59,1/18/2023 16:55:21,"Backend, Frontend","JavaScript, PHP",7,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Όχι,Λύκειο,,30000,30000,7,Ελλάδα,Αττική,,Όχι,"Backend, Frontend","JavaScript, PHP"
60,1/18/2023 17:05:39,"Backend, Frontend",JavaScript,1,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Όχι,Bachelor's,BSc in Physics,14162,14162,1,Ελλάδα,Αττική,,Όχι,"Backend, Frontend",JavaScript
61,1/18/2023 17:10:44,Frontend,JavaScript,17,Ναι,Άντρας,Στον χώρο του εργοδότη,Θεσσαλονίκη,Θεσσαλονίκη,201 - 500,Ναι,Bachelor's,Director of Front-end engineering,43500,43500,10+,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,JavaScript
62,1/18/2023 17:11:37,Backend,PHP,15,Ναι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Ναι,Master,Mηχανικός Η/Υ,25200,25200,10+,Ελλάδα,Αττική,,Ναι,Backend,PHP
63,1/18/2023 17:12:52,"Backend, Frontend","Go, TypeScript",4,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,London,11 - 50,Όχι,Bachelor's,BSc. Computer Science,49180,49180,4,Εξωτερικό,-,,Ναι,"Backend, Frontend","Go, TypeScript"
64,1/18/2023 17:42:40,"Backend, Frontend, Desktop apps","C#, JavaScript",1,Ναι,Άντρας,Απομακρυσμένα,Πάτρα,Πάτρα,501+,Όχι,Bachelor's,Μηχανικών Η/Υ και Πληροφορικής,12600,12600,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend, Desktop Apps","C#, JavaScript"
65,1/18/2023 17:48:32,Backend,"JavaScript, Ruby",7,Ναι,,Και τα δύο,Αθήνα,Αθήνα,201 - 500,Όχι,Bachelor's,cs,19.6,19600,7,Ελλάδα,Αττική,,Ναι,Backend,"JavaScript, Ruby"
66,1/18/2023 17:49:36,Frontend,JavaScript,3,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,11 - 50,Όχι,Λύκειο,,15400,15400,3,Ελλάδα,Αττική,,Όχι,Frontend,JavaScript
67,1/18/2023 17:51:11,Mobile apps,Swift,7,Ναι,Άντρας,Απομακρυσμένα,Μύρινα/Λήμνος,Μύρινα/Λήμνος,501+,Όχι,Bachelor's,Mechanical Engineering,42000,42000,7,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Mobile Apps,Swift
68,1/18/2023 17:57:31,"Backend, Desktop apps",SQL,4,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,501+,Ναι,Master,MSc Internet of Things,13804,13804,4,Ελλάδα,Αττική,,Ναι,"Backend, Desktop Apps",SQL
69,1/18/2023 18:09:04,"Backend, DevOps, Desktop apps","Python, Go, Bash",6,Ναι,Προτιμώ να μην πω,Απομακρυσμένα,Spain,Spain,501+,Όχι,Bachelor's,Εφαρμοσμένη πληροφορική ,34000,34000,6,Εξωτερικό,-,,Ναι,"Backend, SRE / DevOps, Desktop Apps","Python, Go, Bash"
70,1/18/2023 18:11:04,AI / ML,Python,1,Όχι,Άντρας,Και τα δύο,Αθήνα,Αθήνα,51 - 100,Ναι,Bachelor's,DiT - National and Kapodistrian University of Athens,15600,15600,1,Ελλάδα,Αττική,,Ναι,AI / ML,Python
71,1/18/2023 18:25:33,Backend,Python,5,Όχι,Άντρας,Απομακρυσμένα,Αθήνα,London,51 - 100,Όχι,Bachelor's,Μηχανικός ηλεκτρονικών υπολογιστικών συστημάτων ,52000,52000,5,Εξωτερικό,-,,Ναι,Backend,Python
72,1/18/2023 18:26:35,Backend,Java,3,Ναι,Άντρας,Και τα δύο,Πάτρα,Πάτρα,501+,Όχι,Bachelor's,Electrical Engineer,22100,22100,3,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Backend,Java
73,1/18/2023 18:28:19,"Frontend, Mobile apps","JavaScript, Dart",1,Όχι,Άντρας,Στον χώρο του εργοδότη,Αθήνα,Αθήνα,1 - 10,Όχι,Bachelor's,Μηχανικός Λογισμικού,13300,13300,1,Ελλάδα,Αττική,,Ναι,"Frontend, Mobile Apps","JavaScript, Dart"
74,1/18/2023 18:57:10,"Backend, Frontend",JavaScript,1,Ναι,Άντρας,Και τα δύο,Θεσσαλονίκη,Θεσσαλονίκη,1 - 10,Όχι,Bachelor's,BSc,10000,10000,1,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend",JavaScript
75,1/18/2023 19:07:24,Frontend,JavaScript,2,Όχι,Άντρας,Απομακρυσμένα,Πάτρα,Θεσσαλονίκη,11 - 50,Όχι,Master,COMPUTER ENGINEERING AND INFORMATICS,1300,18200,2,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,JavaScript
76,1/18/2023 19:33:48,Frontend,JavaScript,5,Ναι,Άντρας,Απομακρυσμένα,Αθήνα,Berlin,101 - 200,Όχι,Bachelor's,"History and Philosophy of Science (BSc), Computer Software and Media Applications (AS/Associate's)",90000,90000,5,Εξωτερικό,-,,Ναι,Frontend,JavaScript
77,1/18/2023 19:48:49,Frontend,"C#, JavaScript, PHP, Angular",2,Ναι,Άντρας,Στον χώρο του εργοδότη,Καβάλα,Καβάλα,11 - 50,Όχι,Bachelor's,Computer Engineering - Software Engineer,9.968,9968,2,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Frontend,"C#, JavaScript, PHP, TypeScript"
78,1/18/2023 19:56:30,sysadmin,"Python, Bash, powershell",4,Όχι,Άντρας,Και τα δύο,Θεσσαλονίκη,Θεσσαλονίκη,51 - 100,Όχι,Master,Μηχανικος πληροφορικής,12500,12500,4,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,Systems Engineer,"Python, Bash"
79,1/18/2023 20:05:27,"Backend, Frontend, DevOps","JavaScript, PHP",3,Ναι,Άντρας,Στον χώρο του εργοδότη,Θεσσαλονίκη,Θεσσαλονίκη,1 - 10,Όχι,Bachelor's,Μηχανικός Πληροφορικής,15400,15400,3,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend, SRE / DevOps","JavaScript, PHP"
80,1/18/2023 20:11:32,"Backend, Frontend",JavaScript,3,Όχι,Άντρας,Και τα δύο,Θεσσαλονίκη,Θεσσαλονίκη,501+,Όχι,Bachelor's,ΔΙΟΙΚΗΣΗ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ΚΑΙ ΕΠΙΧΕΙΡΗΣΕΩΝ,19600,19600,3,Ελλάδα,Υπόλοιπη Ελλάδα,,Ναι,"Backend, Frontend",JavaScript
